plant,axis,metamer,hiddenzone_age,leaf_pseudo_age,internode_pseudo_age,leaf_is_growing,internode_is_growing,leaf_pseudostem_length,internode_distance_to_emerge,leaf_L,internode_L,delta_leaf_pseudo_age,delta_internode_pseudo_age,delta_internode_distance_to_emerge,delta_internode_L,delta_leaf_L,delta_leaf_pseudostem_length,leaf_Lmax,lamina_Lmax,sheath_Lmax,leaf_Wmax,SSLW,LSSW,leaf_is_emerged,internode_Lmax,LSIW,internode_is_visible,sucrose,amino_acids,fructan,proteins,leaf_enclosed_mstruct,internode_enclosed_mstruct,mstruct,leaf_enclosed_Nstruct,internode_enclosed_Nstruct,Nstruct,is_over
1,MS,3,3835440,1589281,864000,True,True,0.02895,0.0289,0.0925,0.00005,3600,3600,0,0,0,0,0.1228,0.093426659,0.029373341,0.004,25,0.09,True,NA,1,False,9.04E+00,6.47E-01,9.04E+00,9.24E+00,2.05E-03,1.32E-06,2.05E-03,1.02E-05,6.62E-09,1.02E-05,False
1,MS,4,3287520,776406,0,True,True,0.02894,0.02893,0.026,0.00001,3600,0,0,0,0,0,0.1331,0.099106478,0.033993522,0.0044,24,0.14,False,NA,NA,False,2.19E+00,2.79E-01,1.09E+00,3.99E+00,4.96E-04,1.69E-07,0.00049615,2.48E-06,8.44E-10,2.48E-06,False
1,MS,5,2739600,0,0,True,False,0.02894,0.02894,0.002,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,False,NA,NA,False,4.94E-02,1.46E-02,0.00E+00,2.08E-01,1.12E-05,0.00E+00,1.12E-05,5.59E-08,0,5.59E-08,False
1,MS,6,2191680,0,0,True,False,0.02894,0.02894,0.00072,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,False,NA,NA,False,1.34E-02,3.96E-03,0.00E+00,5.66E-02,3.05E-06,0.00E+00,3.05E-06,1.52E-08,0,1.52E-08,False
1,MS,7,1643760,0,0,True,False,0.02894,0.02894,0.00031,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,False,NA,NA,False,4.65E-03,1.37E-03,0.00E+00,1.96E-02,1.05E-06,0.00E+00,1.05E-06,5.27E-09,0,5.27E-09,False
1,MS,8,1095840,0,0,True,False,0.02894,0.02894,0.00016,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,False,NA,NA,False,2.06E-03,6.08E-04,0.00E+00,8.68E-03,4.67E-07,0.00E+00,4.67E-07,2.33E-09,0,2.33E-09,False
1,MS,9,547920,0,0,True,False,0.02894,0.02894,7.00E-05,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,False,NA,NA,False,7.91E-04,2.33E-04,0.00E+00,3.34E-03,1.79E-07,0.00E+00,1.79E-07,8.97E-10,0,8.97E-10,False
1,MS,10,0,0,0,True,False,0.02894,0.02894,5.00E-05,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,False,NA,NA,False,5.55E-04,1.64E-04,0.00E+00,2.34E-03,1.26E-07,0.00E+00,1.26E-07,6.29E-10,0,6.29E-10,False
1,T1,1,3287520,776406,0,True,True,0.02894,0.02893,0.026,0.00001,3600,0,0,0,0,0,0.1331,0.099106478,0.033993522,0.0044,24,0.14,False,NA,NA,False,2.188895761,0.279274133,1.094447881,3.989630478,0.000495981,1.69E-07,0.00049615,2.48E-06,8.44E-10,2.48E-06,False
1,T1,2,2739600,0,0,True,False,0.02894,0.02894,0.002,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,False,NA,NA,False,0.049361426,0.014567789,0,0.208111273,1.12E-05,0,1.12E-05,5.59E-08,0,5.59E-08,False
1,T1,3,2191680,0,0,True,False,0.02894,0.02894,0.00072,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,False,NA,NA,False,0.013434484,0.003964852,0,0.056640737,3.05E-06,0,3.05E-06,1.52E-08,0,1.52E-08,False
1,T1,4,1643760,0,0,True,False,0.02894,0.02894,0.00031,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,False,NA,NA,False,0.004645704,0.001371063,0,0.019586619,1.05E-06,0,1.05E-06,5.27E-09,0,5.27E-09,False
1,T1,5,1095840,0,0,True,False,0.02894,0.02894,0.00016,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,False,NA,NA,False,0.002059197,0.00060772,0,0.008681721,4.67E-07,0,4.67E-07,2.33E-09,0,2.33E-09,False
1,T1,6,547920,0,0,True,False,0.02894,0.02894,0.00007,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,False,NA,NA,False,0.000791075,0.000233466,0,0.003335228,1.79E-07,0,1.79E-07,8.97E-10,0,8.97E-10,False
1,T1,7,0,0,0,True,False,0.02894,0.02894,0.00005,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,False,NA,NA,False,0.000555161,0.000163842,0,0.002340598,1.26E-07,0,1.26E-07,6.29E-10,0,6.29E-10,False
1,T2,1,2739600,0,0,True,False,0.02894,0.02894,0.002,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,False,NA,NA,False,0.049361426,0.014567789,0,0.208111273,1.12E-05,0,1.12E-05,5.59E-08,0,5.59E-08,False
1,T2,2,2191680,0,0,True,False,0.02894,0.02894,0.00072,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,False,NA,NA,False,0.013434484,0.003964852,0,0.056640737,3.05E-06,0,3.05E-06,1.52E-08,0,1.52E-08,False
1,T2,3,1643760,0,0,True,False,0.02894,0.02894,0.00031,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,False,NA,NA,False,0.004645704,0.001371063,0,0.019586619,1.05E-06,0,1.05E-06,5.27E-09,0,5.27E-09,False
1,T2,4,1095840,0,0,True,False,0.02894,0.02894,0.00016,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,False,NA,NA,False,0.002059197,0.00060772,0,0.008681721,4.67E-07,0,4.67E-07,2.33E-09,0,2.33E-09,False
1,T2,5,547920,0,0,True,False,0.02894,0.02894,0.00007,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,False,NA,NA,False,0.000791075,0.000233466,0,0.003335228,1.79E-07,0,1.79E-07,8.97E-10,0,8.97E-10,False
1,T2,6,0,0,0,True,False,0.02894,0.02894,0.00005,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,False,NA,NA,False,0.000555161,0.000163842,0,0.002340598,1.26E-07,0,1.26E-07,6.29E-10,0,6.29E-10,False
1,T3,1,2191680,0,0,True,False,0.02894,0.02894,0.00072,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,False,NA,NA,False,0.013434484,0.003964852,0,0.056640737,3.05E-06,0,3.05E-06,1.52E-08,0,1.52E-08,False
1,T3,2,1643760,0,0,True,False,0.02894,0.02894,0.00031,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,False,NA,NA,False,0.004645704,0.001371063,0,0.019586619,1.05E-06,0,1.05E-06,5.27E-09,0,5.27E-09,False
1,T3,3,1095840,0,0,True,False,0.02894,0.02894,0.00016,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,False,NA,NA,False,0.002059197,0.00060772,0,0.008681721,4.67E-07,0,4.67E-07,2.33E-09,0,2.33E-09,False
1,T3,4,547920,0,0,True,False,0.02894,0.02894,0.00007,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,False,NA,NA,False,0.000791075,0.000233466,0,0.003335228,1.79E-07,0,1.79E-07,8.97E-10,0,8.97E-10,False
1,T3,5,0,0,0,True,False,0.02894,0.02894,0.00005,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,False,NA,NA,False,0.000555161,0.000163842,0,0.002340598,1.26E-07,0,1.26E-07,6.29E-10,0,6.29E-10,False
1,T4,1,1643760,0,0,True,False,0.02894,0.02894,0.00031,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,False,NA,NA,False,0.004645704,0.001371063,0,0.019586619,1.05E-06,0,1.05E-06,5.27E-09,0,5.27E-09,False
1,T4,2,1095840,0,0,True,False,0.02894,0.02894,0.00016,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,False,NA,NA,False,0.002059197,0.00060772,0,0.008681721,4.67E-07,0,4.67E-07,2.33E-09,0,2.33E-09,False
1,T4,3,547920,0,0,True,False,0.02894,0.02894,0.00007,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,False,NA,NA,False,0.000791075,0.000233466,0,0.003335228,1.79E-07,0,1.79E-07,8.97E-10,0,8.97E-10,False
1,T4,4,0,0,0,True,False,0.02894,0.02894,0.00005,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,False,NA,NA,False,0.000555161,0.000163842,0,0.002340598,1.26E-07,0,1.26E-07,6.29E-10,0,6.29E-10,False
