plant,axis,metamer,organ,element,width,height,Eabsm2
1,MS,9,blade,LeafElement1,0.011,0.17,0.0114
1,MS,9,internode,HiddenElement,0.002,0.03,0
1,MS,9,sheath,StemElement,0.002,0.12,0.0049
1,MS,10,blade,LeafElement1,0.014,0.28,0.0216
1,MS,10,internode,HiddenElement,0.003,0.11,0.0005
1,MS,10,sheath,StemElement,0.003,0.22,0.0057
1,MS,11,blade,LeafElement1,0.019,0.41,0.0727
1,MS,11,internode,HiddenElement,0.003,0.21,0.0006
1,MS,11,sheath,StemElement,0.004,0.34,0.0126
1,MS,12,blade,LeafElement1,0.025,0.6,0.2956
1,MS,12,internode,HiddenElement,0.003,0.34,0.0014
1,MS,12,internode,StemElement,0.003,0.41,0.0259
1,MS,12,sheath,StemElement,0.004,0.52,0.0685
1,MS,13,peduncle,HiddenElement,0.003,0.52,0.0076
1,MS,13,peduncle,StemElement,0.003,0.65,0.1433
1,MS,14,ear,StemElement,0.012,0.74,0.4121
