Phytomer,L_nb,Lg_nb,L_moy,Lg_moy,L_SD,Lg_SD,EN_nb,EN_moy,EN_SD
3,171,171,12.277,2.865,1.138008471,0.392383848,,,
4,123,123,13.314,3.327,1.146308469,0.4333127,,,
5,106,106,15.476,4.077,0.977195411,0.370921971,,,
6,117,117,19.971,6.326,1.315399748,0.640198494,11,0.127272727,0.041009977
7,120,120,25.504,9.071,1.659126622,0.886980901,89,1.761235955,0.971636179
8,114,114,31.816,12.151,1.503791441,0.646950888,98,6.105612245,0.689459771
9,101,101,39.164,14.056,1.161915002,0.628584769,72,9.514583333,1.223549371
10,77,77,45.994,17.311,1.244601677,0.78756679,57,14.19473684,1.157494377
11,62,62,42.709,18.762,3.450437782,1.813319054,42,16.85238095,0.738897694
