plant,axis,metamer,organ,element,nitrates,starch,amino_acids,proteins,Nstruct,mstruct,fructan,sucrose,green_area,cytokinins,triosesP,Ag,Tr,Ts,is_growing
1,MS,1,blade,LeafElement1,0,0,1,10,0.00034,0.04,0,0,0.0016,2.5,0,0,0,18,False
1,MS,1,internode,HiddenElement,0,0,3,32,0.000308,0.074,0,406,0.0003,0.1,0,0,0,18,False
1,MS,1,sheath,StemElement,0,0,3,25,0.000425,0.058,0,319,0.0006,0.15,0,0,0,18,False
1,MS,2,blade,LeafElement1,0,0,8,80,0.000471,0.05,0,120,0.00228,3.5,0,0,0,18,False
1,MS,2,internode,HiddenElement,0,0,5,47,0.000259,0.109,0,594,0.000785398,0.1,0,0,0,18,False
1,MS,2,sheath,StemElement,0,0,3,32,0.000278,0.073,0,398,0.001256637,0.15,0,0,0,18,False
1,MS,3,blade,LeafElement1,0,0,19,193,0.000771,0.09,0,481,0.0034,8,0,0,0,18,False
1,MS,3,internode,HiddenElement,0,0,7,66,0.000316,0.152,0,828,0.001256637,0.15,0,0,0,18,False
1,MS,3,sheath,StemElement,0,0,4,41,0.000275,0.095,0,517,0.001570796,0.2,0,0,0,18,False
1,MS,4,blade,LeafElement1,0,0,34,343,0.000969,0.14,0,750,0.00346,15,0,0,0,18,False
1,MS,4,internode,HiddenElement,0,0,7,69,0.000425,0.16,0,875,0.001135027,0.5,0,0,0,18,False
1,MS,4,internode,StemElement,0,0,1,14,0.000086,0.032,0,177,0.000372937,0.5,0,0,0,18,False
1,MS,4,sheath,StemElement,0,0,5,53,0.000597,0.123,0,672,0.001884956,0.5,0,0,0,18,False
1,MS,5,internode,HiddenElement,0,0,5,46,0.000509,0.106,0,582,0.001605354,0.7,0,0,0,18,False
1,MS,5,internode,StemElement,0,0,2,25,0.000275,0.058,0,315,0.000813672,0.85,0,0,0,18,False
1,MS,6,internode,StemElement,0,0,24,243,0.001013,0.21,0,726,0.004712389,15,0,0,0,18,False
4,MS,1,blade,LeafElement1,0,0,1,10,0.00034,0.04,0,0,0.0016,2.5,0,0,0,18,False
4,MS,1,internode,HiddenElement,0,0,3,32,0.000308,0.074,0,406,0.0003,0.1,0,0,0,18,False
4,MS,1,sheath,StemElement,0,0,3,25,0.000425,0.058,0,319,0.0006,0.15,0,0,0,18,False
4,MS,2,blade,LeafElement1,0,0,8,80,0.000471,0.05,0,120,0.00228,3.5,0,0,0,18,False
4,MS,2,internode,HiddenElement,0,0,5,47,0.000259,0.109,0,594,0.000785398,0.1,0,0,0,18,False
4,MS,2,sheath,StemElement,0,0,3,32,0.000278,0.073,0,398,0.001256637,0.15,0,0,0,18,False
4,MS,3,blade,LeafElement1,0,0,19,193,0.000771,0.09,0,481,0.0034,8,0,0,0,18,False
4,MS,3,internode,HiddenElement,0,0,7,66,0.000316,0.152,0,828,0.001256637,0.15,0,0,0,18,False
4,MS,3,sheath,StemElement,0,0,4,41,0.000275,0.095,0,517,0.001570796,0.2,0,0,0,18,False
4,MS,4,blade,LeafElement1,0,0,34,343,0.000969,0.14,0,750,0.00346,15,0,0,0,18,False
4,MS,4,internode,HiddenElement,0,0,7,69,0.000425,0.16,0,875,0.001135027,0.5,0,0,0,18,False
4,MS,4,internode,StemElement,0,0,1,14,0.000086,0.032,0,177,0.000372937,0.5,0,0,0,18,False
4,MS,4,sheath,StemElement,0,0,5,53,0.000597,0.123,0,672,0.001884956,0.5,0,0,0,18,False
4,MS,5,internode,HiddenElement,0,0,5,46,0.000509,0.106,0,582,0.001605354,0.7,0,0,0,18,False
4,MS,5,internode,StemElement,0,0,2,25,0.000275,0.058,0,315,0.000813672,0.85,0,0,0,18,False
4,MS,6,internode,StemElement,0,0,24,243,0.001013,0.21,0,726,0.004712389,15,0,0,0,18,False
