plant,axis,organ,amino_acids,mstruct,sucrose,Nstruct
1,MS,roots,60,0.504,740,0.01
2,MS,roots,60,0.504,740,0.01
3,MS,roots,60,0.504,740,0.01
4,MS,roots,60,0.504,740,0.01
5,MS,roots,60,0.504,740,0.01
6,MS,roots,60,0.504,740,0.01
7,MS,roots,60,0.504,740,0.01
8,MS,roots,60,0.504,740,0.01
9,MS,roots,60,0.504,740,0.01
10,MS,roots,60,0.504,740,0.01
11,MS,roots,60,0.504,740,0.01
12,MS,roots,60,0.504,740,0.01
13,MS,roots,60,0.504,740,0.01
14,MS,roots,60,0.504,740,0.01
15,MS,roots,60,0.504,740,0.01
16,MS,roots,60,0.504,740,0.01
17,MS,roots,60,0.504,740,0.01
18,MS,roots,60,0.504,740,0.01
19,MS,roots,60,0.504,740,0.01
20,MS,roots,60,0.504,740,0.01
21,MS,roots,60,0.504,740,0.01
22,MS,roots,60,0.504,740,0.01
23,MS,roots,60,0.504,740,0.01
24,MS,roots,60,0.504,740,0.01
25,MS,roots,60,0.504,740,0.01
26,MS,roots,60,0.504,740,0.01
27,MS,roots,60,0.504,740,0.01
28,MS,roots,60,0.504,740,0.01
29,MS,roots,60,0.504,740,0.01
30,MS,roots,60,0.504,740,0.01
